user_id,user_name,age,signup_date,country,industry,company_size,acquisition_channel
U00001,Stephanie Phillips,28,2025-06-10,Singapore,Finance,500+,YouTube
U00002,Walter Olson,28,2024-08-13,India,Finance,500+,YouTube
U00003,Samantha Fisher,35,2025-09-15,India,Healthcare,201-500,Product Hunt
U00004,Debra Castro,22,2024-04-07,Singapore,Technology,201-500,YouTube
U00005,Scott Logan,22,2025-05-10,India,Finance,51-200,LinkedIn
U00006,Chelsea Long,22,2024-11-04,Singapore,Marketing,51-200,LinkedIn
U00007,Johnny Wells,52,2024-02-21,United States,Retail,51-200,Referral
U00008,Aaron Gaines,28,2025-01-26,India,Technology,201-500,YouTube
U00009,Donald Boyle,28,2025-04-14,India,Healthcare,201-500,Google Search
U00010,Mr. Jason Klein,31,2025-01-21,United States,Finance,1-10,Google Search
U00011,Robin Gilbert,31,2025-04-02,India,Marketing,11-50,YouTube
U00012,Tara Anderson,22,2025-05-14,Germany,Education,11-50,LinkedIn
U00013,Thomas Harrison,40,2024-02-26,United Kingdom,Marketing,201-500,Google Search
U00014,Haley Jensen,28,2024-05-21,India,Healthcare,500+,YouTube
U00015,Kent Snow,45,2025-05-22,United States,Retail,1-10,Google Search
U00016,Ronnie Moran,25,2025-05-28,India,Technology,1-10,Google Search
U00017,Lawrence Blake,22,2025-04-04,Germany,Technology,51-200,Referral
U00018,Timothy Greene,31,2024-04-07,Australia,Healthcare,1-10,Product Hunt
U00019,Tabitha Hughes,40,2025-02-06,India,Technology,500+,Referral
U00020,Matthew Gardner,31,2025-07-15,Australia,Technology,51-200,Google Search
U00021,Melanie Waller,35,2025-09-30,Germany,Healthcare,51-200,YouTube
U00022,Kristine Cardenas,28,2024-07-29,India,Retail,51-200,Google Search
U00023,Stephanie Bryan,31,2025-09-22,India,Education,500+,Google Search
U00024,Katelyn Hoffman,28,2025-03-25,Germany,Education,500+,Google Search
U00025,Jennifer Salazar,25,2025-08-20,India,Healthcare,11-50,Direct
U00026,Luke Guerra,31,2025-07-14,Australia,Education,201-500,Google Search
U00027,Sally Rocha,40,2024-09-02,United States,Healthcare,201-500,LinkedIn
U00028,John Thompson,40,2024-04-24,India,Finance,1-10,Direct
U00029,Karen Morrison,40,2025-12-23,India,Finance,1-10,LinkedIn
U00030,Zachary Mccarty,31,2024-05-06,India,Finance,1-10,LinkedIn
U00031,Kyle Wall,22,2024-05-10,India,Education,11-50,Referral
U00032,Timothy Martin,25,2025-07-12,Singapore,Finance,1-10,Product Hunt
U00033,Steven White,28,2025-10-22,India,Technology,1-10,Google Search
U00034,Angela Rodriguez,25,2025-05-21,United States,Marketing,201-500,Google Search
U00035,Emma Moore MD,28,2025-07-30,India,Marketing,500+,YouTube
